City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,yuzhno-kurilsk,44.0306,145.8556,21.66,87,97,2.15,RU,1691725886
143,demidov,55.2706,31.515,14.57,73,100,1.79,RU,1691725887
144,north bend,43.4065,-124.2243,17.95,77,0,6.17,US,1691725887
145,lucas,41.6501,-83.6666,20.03,84,0,0.45,US,1691725887
146,sogne,58.0833,7.8167,10.39,84,4,0.45,NO,1691725887
147,lusambo,-4.9667,23.45,23.08,61,94,0.49,CD,1691725887
148,polyarnyy,69.1989,33.4478,16.82,79,10,4.78,RU,1691725888
149,iskateley,67.6803,53.1512,16.11,61,5,1.34,RU,1691725888
150,isiro,2.7739,27.616,18.08,99,91,0.65,CD,1691725888
151,ornskoldsvik,63.2909,18.7153,13.53,94,75,3.09,SE,1691725888
152,yaren,-0.5472,166.916,28.45,69,5,0.76,NR,1691725888
153,ust-nera,64.5667,143.2,24.02,33,64,0.68,RU,1691725889
154,pala,9.3642,14.9046,20.95,98,100,1.85,TD,1691725889
155,lihue,21.9789,-159.3672,29.58,66,0,6.17,US,1691725801
156,punta del este,-34.9667,-54.95,14.37,93,75,1.03,UY,1691725889
157,fort mcmurray,56.7268,-111.381,13.77,100,100,2.57,CA,1691725889
158,nishinoomote,30.7333,131.0,29.31,89,75,2.57,JP,1691725889
159,laguna,38.421,-121.4238,26.99,52,0,4.63,US,1691725889
160,flying fish cove,-10.4217,105.6791,25.82,78,40,5.66,CX,1691725889
161,nar'yan-mar,67.6713,53.087,16.17,61,5,1.35,RU,1691725889
162,bardstown,37.8092,-85.4669,23.77,94,0,0.0,US,1691725890
163,afaahiti,-17.75,-149.2833,24.93,71,100,8.8,PF,1691725890
164,al ghayzah,16.2079,52.176,26.55,84,100,3.41,YE,1691725890
165,dalandzadgad,43.5708,104.425,24.55,39,2,5.62,MN,1691725890
166,brooks,50.5834,-111.8851,13.99,88,84,1.03,CA,1691725890
167,umea,63.8284,20.2597,14.96,82,40,4.12,SE,1691725890
